issue,key,parent_key,average_to_do_workdays,average_acknowledged_workdays,average_wip_workdays,average_on_hold_team_internal_workdays,average_on_hold_customers_workdays,average_verified_workdays,average_resolved_workdays,workdays_in_current_status,status,sw_resolution__breached,software_defect_resolution_sla_breached,average_resolution_workdays,priority,severity,components,linked_issues_count,resolution,created_by,customer,realm,impacted_environment,found_in,type,defect_category,software_defect_fix_sla_start_date,software_defect_fix_sla_target_date,software_defect_fix_sla_end_date,software_defect_resolution_sla_start_date,software_defect_resolution_sla_target_date,software_defect_resolution_sla_end_date,product_deliverable,core_product,parent_product,feature_attribute,created_date,resolution_date,due_date,software_defect_acknowledgement_sla_breached,software_defect_acknowledgement_sla_start_date,software_defect_acknowledgement_sla_end_date,software_defect_acknowledgement_sla_target_date,external_id,reopen_count,resolution_quality,created_year_month,resolved_year_month
ISSUE-1266,KEY-1266,,0.6617,0.3541,6.8357,0,0,0,0,10.016933831018518,Resolved,0,Not breached,7.85,P1 - High,S1 - Critical,COMP-78,2,Fixed by Software Development,External Customer,CUST-179,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-6,5/14/25 7:31,5/23/25 7:24,5/23/25 12:04,5/13/25 15:38,5/27/25 15:38,2025-05-23T12:04:48.000,PROD-DELIVERABLE-1,CORE-PROD-82,PARENT-PROD-25,FEATURE-2,2025-05-13T15:38:43.000,5/23/25 12:04,,Not breached,5/13/25 15:38,5/14/25 7:31,5/16/25 15:38,EXTERNAL-ID-1,0,Positively Resolved,2025-05,2025-05
ISSUE-1286,KEY-1286,,0.0001,0,24.1612,0,0,6.9145,0,0.18773244212962964,Closed,1,Breached,31.08,P1 - High,S1 - Critical,COMP-90,3,Fixed by Software Development,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-3,5/15/25 6:19,5/26/25 6:12,6/27/25 8:08,5/15/25 6:19,5/29/25 6:19,2025-06-18T10:11:31.000,PROD-DELIVERABLE-7,CORE-PROD-52,PARENT-PROD-21,FEATURE-81,2025-05-15T06:19:16.000,6/27/25 8:08,6/27/25,Not breached,5/15/25 6:19,5/15/25 6:19,5/20/25 6:19,EXTERNAL-ID-385,2,Positively Resolved,2025-05,2025-06
ISSUE-1297,KEY-1297,,0,0,5.8822,2.3707,0,3.021,0,26.016065775462963,Resolved,0,Not breached,11.27,P1 - High,S1 - Critical,COMP-143,1,Fixed by Data Correction,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-7,5/19/25 15:59,5/28/25 15:52,5/30/25 13:40,5/15/25 7:06,5/29/25 7:06,2025-05-27T13:10:13.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T07:06:06.000,5/30/25 13:40,5/30/25,Breached,5/15/25 7:06,5/30/25 13:40,5/20/25 7:06,EXTERNAL-ID-400,0,Positively Resolved,2025-05,2025-05
ISSUE-1300,KEY-1300,,0.0002,0,0,0,0,0,0,1.997767175925926,Blocked,0,Breached,0,P1 - High,S1 - Critical,COMP-90,4,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,6/5/25 7:15,6/16/25 7:08,,5/15/25 7:26,5/29/25 7:26,,PROD-DELIVERABLE-8,CORE-PROD-52,PARENT-PROD-21,FEATURE-100,2025-05-15T07:26:05.000,,8/22/25,Breached,5/15/25 7:26,6/5/25 7:15,5/20/25 7:26,EXTERNAL-ID-413,0,Unresolved,2025-05,NaT
ISSUE-1304,KEY-1304,,0,0,0,0,0,0,0,39.307570416666664,Acknowledged,0,Breached,0,P1 - High,S2 - Major,COMP-19,0,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 7:31,5/26/25 7:24,,5/15/25 7:31,5/29/25 7:31,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T07:31:13.000,,,Not breached,5/15/25 7:31,5/15/25 7:31,5/22/25 7:31,EXTERNAL-ID-428,0,Unresolved,2025-05,NaT
ISSUE-1305,KEY-1305,,0,0,0,0,0,0,0,39.30704958333333,Acknowledged,0,Breached,0,P1 - High,S2 - Major,COMP-19,0,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 7:32,5/26/25 7:25,,5/15/25 7:31,5/29/25 7:31,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T07:31:57.000,,,Not breached,5/15/25 7:31,5/15/25 7:32,5/22/25 7:31,EXTERNAL-ID-429,0,Unresolved,2025-05,NaT
ISSUE-1306,KEY-1306,,0.0002,0,0,0,0,0,0,39.306262546296296,Acknowledged,0,Breached,0,P1 - High,S2 - Major,COMP-19,0,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 7:33,5/26/25 7:26,,5/15/25 7:32,5/29/25 7:32,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T07:32:54.000,,,Not breached,5/15/25 7:32,5/15/25 7:33,5/22/25 7:32,EXTERNAL-ID-430,0,Unresolved,2025-05,NaT
ISSUE-1307,KEY-1307,,0,6.4587,19.5253,0,0,0,6.1316,7.188426909722223,Closed,1,Breached,25.98,P1 - High,S1 - Critical,COMP-45,3,Fixed by Data Correction,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-2,5/15/25 7:36,5/26/25 7:29,6/20/25 7:13,5/15/25 7:36,5/29/25 7:36,2025-06-20T07:13:24.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-76,2025-05-15T07:36:24.000,6/20/25 7:13,6/20/25,Not breached,5/15/25 7:36,5/15/25 7:36,5/20/25 7:36,EXTERNAL-ID-434,0,Positively Resolved,2025-05,2025-06
ISSUE-1308,KEY-1308,,0,0,0,4.2627,0,0,0,35.04078802083333,Resolved,0,Not breached,4.26,P1 - High,S1 - Critical,COMP-6,2,Fixed by Software Development,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-2,5/15/25 7:37,,,5/15/25 7:37,5/29/25 7:37,2025-05-21T13:55:26.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-5,2025-05-15T07:37:04.000,5/21/25 13:55,,Breached,5/15/25 7:37,5/21/25 13:55,5/20/25 7:37,EXTERNAL-ID-440,0,Positively Resolved,2025-05,2025-05
ISSUE-1310,KEY-1310,,0.0003,0.0001,0,0.4975,0,0,0.0048,12.002871354166668,In Progress,0,Breached,0,P1 - High,S1 - Critical,COMP-87,2,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,5/15/25 7:38,5/26/25 7:31,,5/15/25 7:38,5/29/25 7:38,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T07:38:42.000,,8/8/25,Not breached,5/15/25 7:38,6/10/25 17:57,6/13/25 17:57,EXTERNAL-ID-450,1,Unresolved,2025-05,NaT
ISSUE-1315,KEY-1315,,0.0005,0.0002,0,0.139,0,0,1.3062,11.818218587962964,In Progress,0,Breached,0,P1 - High,S1 - Critical,COMP-87,0,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,5/15/25 7:49,5/26/25 7:42,,5/15/25 7:49,5/29/25 7:49,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T07:49:13.000,,8/8/25,Not breached,5/15/25 7:49,6/23/25 19:15,6/26/25 19:15,EXTERNAL-ID-458,2,Unresolved,2025-05,NaT
ISSUE-1318,KEY-1318,,3.8003,14.1416,0,0,0,0,0,8.017281087962964,Blocked,0,Breached,0,P1 - High,S1 - Critical,COMP-19,23,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,6/9/25 11:05,6/18/25 10:58,,5/15/25 7:58,5/29/25 7:58,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-101,2025-05-15T07:58:42.000,,,Breached,5/15/25 7:58,6/9/25 11:05,5/20/25 7:58,EXTERNAL-ID-460,2,Unresolved,2025-05,NaT
ISSUE-1321,KEY-1321,,0.0002,0.0001,0,3.7487,0,3.0372,0.0722,12.017859791666666,In Progress,0,Breached,0,P1 - High,S1 - Critical,COMP-87,3,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,5/15/25 8:03,5/26/25 7:56,,5/15/25 8:03,5/29/25 8:03,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T08:03:12.000,,8/8/25,Not breached,5/15/25 8:03,6/4/25 19:05,6/9/25 19:05,EXTERNAL-ID-470,1,Unresolved,2025-05,NaT
ISSUE-1324,KEY-1324,,0.0005,0.0003,0,0,0,0,1.5314,11.818959340277777,In Progress,0,Breached,0,P1 - High,S1 - Critical,COMP-87,3,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,5/15/25 8:09,5/26/25 8:02,,5/15/25 8:09,5/29/25 8:09,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T08:09:54.000,,8/8/25,Not breached,5/15/25 8:09,6/23/25 19:14,6/26/25 19:13,EXTERNAL-ID-467,2,Unresolved,2025-05,NaT
ISSUE-1325,KEY-1325,,0,0,13.2135,8.9313,0,3.8299,6.1174,7.188288043981482,Closed,1,Breached,25.97,P1 - High,S1 - Critical,COMP-87,1,Fixed by Data Correction,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,5/15/25 8:10,5/26/25 8:03,6/20/25 7:34,5/15/25 8:10,5/29/25 8:10,2025-06-16T11:39:01.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T08:10:30.000,6/20/25 7:34,6/20/25,Not breached,5/15/25 8:10,5/15/25 8:10,5/20/25 8:10,EXTERNAL-ID-469,0,Positively Resolved,2025-05,2025-06
ISSUE-1326,KEY-1326,,0.0004,0.0004,0,2.6177,0,0,1.3846,11.820001006944445,In Progress,0,Breached,0,P1 - High,S1 - Critical,COMP-87,3,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,5/15/25 8:11,5/26/25 8:04,,5/15/25 8:11,5/29/25 8:11,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T08:11:03.000,,8/8/25,Not breached,5/15/25 8:11,6/23/25 19:13,6/26/25 19:12,EXTERNAL-ID-471,2,Unresolved,2025-05,NaT
ISSUE-1332,KEY-1332,,0,0,0,0,0,0,0,39.27699175925926,Acknowledged,0,Breached,0,P1 - High,S2 - Major,COMP-19,3,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 8:15,5/26/25 8:08,,5/15/25 8:15,5/29/25 8:15,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-18,2025-05-15T08:15:15.000,,6/20/25,Not breached,5/15/25 8:15,5/15/25 8:15,5/22/25 8:15,EXTERNAL-ID-482,0,Unresolved,2025-05,NaT
ISSUE-1333,KEY-1333,,0,0,20.2164,2.9553,0,0.0002,8.916,7.1883575,Closed,1,Breached,23.17,P1 - High,S1 - Critical,COMP-19,1,Fixed by Data Correction,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,5/15/25 8:16,5/26/25 8:09,6/17/25 12:23,5/15/25 8:16,5/29/25 16:48,2025-06-17T12:23:57.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T08:16:21.000,6/17/25 12:23,5/23/25,Not breached,5/15/25 8:16,5/15/25 8:16,5/20/25 8:16,EXTERNAL-ID-488,0,Positively Resolved,2025-05,2025-06
ISSUE-1340,KEY-1340,,0,0,0,0,0,0,0,38.4683575,Waiting For Information -Internal,0,Breached,0,P1 - High,S1 - Critical,COMP-90,1,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 8:21,,,5/15/25 8:21,5/29/25 8:21,,PROD-DELIVERABLE-8,CORE-PROD-52,PARENT-PROD-21,FEATURE-86,2025-05-15T08:21:57.000,,9/26/25,Breached,5/15/25 8:21,,5/20/25 8:21,EXTERNAL-ID-500,0,Unresolved,2025-05,NaT
ISSUE-1341,KEY-1341,,0.003,0.0001,0,1.2131,0,0,1.4958,11.821332037037036,In Progress,0,Breached,0,P1 - High,S1 - Critical,COMP-87,4,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,5/15/25 8:22,5/26/25 8:15,,5/15/25 8:22,5/29/25 8:22,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T08:22:36.000,,8/8/25,Not breached,5/15/25 8:22,6/23/25 19:11,6/26/25 19:06,EXTERNAL-ID-503,1,Unresolved,2025-05,NaT
ISSUE-1351,KEY-1351,,20.0294,0.0001,10.8902,0.2256,0,0,0,6.187674641203703,Closed,1,Breached,31.15,P1 - High,S1 - Critical,COMP-72,4,Fixed by Data Correction,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,6/12/25 9:31,6/23/25 9:24,6/27/25 11:59,5/15/25 8:30,5/29/25 8:30,2025-06-27T11:59:30.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-72,2025-05-15T08:30:09.000,6/27/25 11:59,,Breached,5/15/25 8:30,6/12/25 9:31,5/20/25 8:30,EXTERNAL-ID-551,0,Positively Resolved,2025-05,2025-06
ISSUE-1352,KEY-1352,,9.065,0,0,0,1.336,0,0,26.72794084490741,Acknowledged,0,Breached,0,P1 - High,S1 - Critical,COMP-29,4,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/29/25 18:10,6/9/25 18:03,,5/15/25 8:32,5/30/25 16:36,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-72,2025-05-15T08:32:44.000,,8/29/25,Breached,5/15/25 8:32,5/29/25 18:10,5/21/25 16:36,EXTERNAL-ID-552,0,Unresolved,2025-05,NaT
ISSUE-1355,KEY-1355,,9.1567,0,0,0,1.2436,0,0,1.9680102893518518,In Progress,0,Breached,0,P1 - High,S1 - Critical,COMP-5,3,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/29/25 18:10,6/9/25 18:03,,5/15/25 8:34,5/30/25 14:25,,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-72,2025-05-15T08:34:22.000,,8/29/25,Breached,5/15/25 8:34,5/29/25 18:10,5/21/25 14:25,EXTERNAL-ID-567,0,Unresolved,2025-05,NaT
ISSUE-1356,KEY-1356,,0.0001,1.5323,14.3722,0,0,10.0757,0,6.188415393518518,Closed,1,Breached,25.98,P1 - High,S1 - Critical,COMP-45,3,Fixed by Software Development,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-6,5/15/25 8:35,5/26/25 8:28,6/20/25 8:07,5/15/25 8:35,5/29/25 8:35,2025-06-06T06:18:09.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-76,2025-05-15T08:35:34.000,6/20/25 8:07,6/20/25,Not breached,5/15/25 8:35,5/15/25 8:35,5/20/25 8:35,EXTERNAL-ID-569,0,Positively Resolved,2025-05,2025-06
ISSUE-1358,KEY-1358,,6.765,0.0001,0.8427,0,1.3376,0,3.2531,27.062582060185186,Closed,0,Not breached,8.95,P1 - High,S1 - Critical,COMP-19,1,Fixed by Data Correction,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,5/27/25 11:05,6/5/25 10:58,5/28/25 7:19,5/15/25 8:38,5/30/25 16:44,2025-05-28T07:19:31.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-72,2025-05-15T08:38:10.000,5/28/25 7:19,,Breached,5/15/25 8:38,5/27/25 11:05,5/21/25 16:44,EXTERNAL-ID-572,0,Positively Resolved,2025-05,2025-05
ISSUE-1360,KEY-1360,,0,0,2.1688,0,0,0.0019,5.9429,31.146644560185187,Closed,0,Not breached,2.17,P1 - High,S1 - Critical,COMP-45,1,Fixed by Software Development,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-6,5/15/25 8:39,5/26/25 8:32,5/19/25 12:45,5/15/25 8:39,5/29/25 8:39,2025-05-19T12:42:33.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-76,2025-05-15T08:39:24.000,5/19/25 12:45,6/13/25,Not breached,5/15/25 8:39,5/15/25 8:39,5/20/25 8:39,EXTERNAL-ID-574,0,Positively Resolved,2025-05,2025-05
ISSUE-1361,KEY-1361,,1.3851,22.9214,0,0,0,0,0,1.2230913310185185,Verified,0,Breached,0,P1 - High,S1 - Critical,COMP-45,2,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/16/25 17:54,5/27/25 17:47,7/8/25 9:32,5/15/25 8:39,5/29/25 8:39,2025-07-08T09:32:55.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-76,2025-05-15T08:39:46.000,,7/18/25,Not breached,5/15/25 8:39,5/16/25 17:54,5/20/25 8:39,EXTERNAL-ID-575,0,Unresolved,2025-05,2025-07
ISSUE-1363,KEY-1363,,0,0,15.0921,0.0685,0,0,9.3717,14.72662142361111,Closed,1,Breached,15.16,P1 - High,S1 - Critical,COMP-45,1,Fixed by Software Development,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-6,5/15/25 8:41,5/26/25 8:34,6/5/25 12:32,5/15/25 8:41,5/29/25 8:41,2025-06-05T12:32:34.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-76,2025-05-15T08:41:19.000,6/5/25 12:32,6/6/25,Not breached,5/15/25 8:41,5/15/25 8:41,5/20/25 8:41,EXTERNAL-ID-592,0,Positively Resolved,2025-05,2025-06
ISSUE-1381,KEY-1381,,0,0,2.9641,0,0,15.0036,0,21.262339016203704,Resolved,0,Not breached,17.97,P1 - High,S1 - Critical,COMP-19,2,Fixed by Data Correction,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-7,5/15/25 9:22,5/26/25 9:15,6/10/25 8:36,5/15/25 9:22,5/29/25 9:22,2025-05-20T08:31:12.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-72,2025-05-15T09:22:51.000,6/10/25 8:36,6/6/25,Breached,5/15/25 9:22,6/10/25 8:36,5/20/25 9:22,EXTERNAL-ID-568,1,Positively Resolved,2025-05,2025-05
ISSUE-1382,KEY-1382,,0.8557,0.0001,3.5454,5.55,0,0,2.2156,27.06272096064815,Closed,0,Not breached,9.95,P1 - High,S1 - Critical,COMP-19,1,Fixed by Data Correction,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-10,5/23/25 19:07,6/3/25 19:00,5/29/25 8:13,5/15/25 9:23,5/29/25 9:23,2025-05-29T08:13:27.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-72,2025-05-15T09:23:32.000,5/29/25 8:13,5/30/25,Breached,5/15/25 9:23,5/23/25 19:07,5/20/25 9:23,EXTERNAL-ID-576,0,Positively Resolved,2025-05,2025-05
ISSUE-1383,KEY-1383,,15.4388,0,6.9823,1.8171,0,4.9233,0,6.187732546296296,Closed,1,Breached,29.19,P1 - High,S2 - Major,COMP-19,0,Fixed by Software Development,External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-2,5/15/25 9:24,6/24/25 1:01,6/25/25 14:01,5/15/25 9:24,6/5/25 8:18,2025-06-25T14:01:52.000,PROD-DELIVERABLE-1,CORE-PROD-52,PARENT-PROD-21,FEATURE-34,2025-05-15T09:24:02.000,6/25/25 14:01,,Breached,5/15/25 9:24,6/14/25 10:42,5/22/25 9:24,EXTERNAL-ID-579,1,Positively Resolved,2025-05,2025-06
ISSUE-1386,KEY-1386,,0.0089,0.0001,0,0,0,0,0,16.10226958333333,In Progress,0,Breached,0,P1 - High,S1 - Critical,COMP-74,1,(unresolved),External Customer,CUST-36,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 20:18,5/26/25 20:23,,5/15/25 20:17,5/29/25 20:17,,PROD-DELIVERABLE-16,CORE-PROD-7,PARENT-PROD-35,FEATURE-28,2025-05-15T20:17:56.000,,7/18/25,Not breached,5/15/25 20:17,5/19/25 18:21,5/22/25 18:08,EXTERNAL-ID-549,0,Unresolved,2025-05,NaT
ISSUE-1455,KEY-1455,,0,0,0,0,0,0,0,38.661216342592596,Acknowledged,0,Breached,0,P1 - High,S3 - Minor,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-1,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:02,5/26/25 22:55,,5/15/25 23:01,5/29/25 23:01,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:01:57.000,,11/29/24,Not breached,5/15/25 23:01,5/15/25 23:02,5/22/25 23:01,EXTERNAL-ID-1001,0,Unresolved,2025-05,NaT
ISSUE-1467,KEY-1467,,0,0,0,0,0,0,0,38.65797560185185,Reopened,0,Breached,0,P1 - High,S1 - Critical,COMP-19,2,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-2,5/15/25 23:06,,,5/15/25 23:06,5/29/25 23:06,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:06:39.000,,,Breached,5/15/25 23:06,,5/20/25 23:06,EXTERNAL-ID-961,1,Unresolved,2025-05,NaT
ISSUE-1489,KEY-1489,,0,0,0,0,0,0,0,38.65351959490741,Acknowledged,0,Breached,0,P1 - High,S2 - Major,COMP-19,0,(unresolved),External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/15/25 23:13,5/26/25 23:06,,5/15/25 23:13,5/29/25 23:13,,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:13:03.000,,,Not breached,5/15/25 23:13,5/15/25 23:13,5/22/25 23:13,EXTERNAL-ID-1030,0,Unresolved,2025-05,NaT
ISSUE-1505,KEY-1505,,0,0,0.2322,0,0,0,0,38.41409829861111,Resolved,0,Not breached,0.23,P1 - High,S2 - Major,COMP-19,2,Fixed by Data Correction,External Customer,CUST-40,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-11,5/15/25 23:23,5/26/25 23:16,5/16/25 4:57,5/15/25 23:23,5/29/25 23:23,2025-05-16T04:57:52.000,PROD-DELIVERABLE-17,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-15T23:23:29.000,5/16/25 4:57,,Not breached,5/15/25 23:23,5/16/25 4:57,5/22/25 23:23,EXTERNAL-ID-1,0,Positively Resolved,2025-05,2025-05
ISSUE-1524,KEY-1524,,0,0,0,0,0,0,0,38.617026539351855,Acknowledged,0,Breached,0,P1 - High,S3 - Minor,COMP-19,1,(unresolved),External Customer,CUST-54,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/16/25 0:05,5/26/25 23:58,,5/16/25 0:05,5/30/25 0:05,,PROD-DELIVERABLE-19,CORE-PROD-9,PARENT-PROD-26,FEATURE-2,2025-05-16T00:05:36.000,,,Not breached,5/16/25 0:05,5/16/25 0:05,5/23/25 0:05,EXTERNAL-ID-333,0,Unresolved,2025-05,NaT
ISSUE-1536,KEY-1536,,0,0,0,0,0,0,0,38.59457283564815,In Progress,0,Breached,0,P1 - High,S1 - Critical,COMP-19,1,(unresolved),External Customer,CUST-249,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/16/25 0:37,5/27/25 0:30,,5/16/25 0:37,5/30/25 0:37,,PROD-DELIVERABLE-1,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-16T00:37:56.000,,,Not breached,5/16/25 0:37,5/16/25 0:37,5/21/25 0:37,EXTERNAL-ID-1,0,Unresolved,2025-05,NaT
ISSUE-1537,KEY-1537,,0.0021,0,0,0,0,0,0,38.58704969907407,Waiting For Information -Internal,0,Breached,0,P1 - High,S1 - Critical,COMP-19,1,(unresolved),External Customer,CUST-249,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-2,5/16/25 0:45,,,5/16/25 0:45,5/30/25 0:45,,PROD-DELIVERABLE-21,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-16T00:45:48.000,,,Breached,5/16/25 0:45,,5/21/25 0:45,EXTERNAL-ID-1,2,Unresolved,2025-05,NaT
ISSUE-1539,KEY-1539,,0,0,0,0,0,0,0,38.58209599537037,Waiting For Information -Internal,0,Breached,0,P1 - High,S1 - Critical,COMP-19,1,(unresolved),External Customer,CUST-249,REALM--1,ENV-8,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/16/25 0:55,,,5/16/25 0:55,5/30/25 0:55,,PROD-DELIVERABLE-21,CORE-PROD-96,PARENT-PROD-52,FEATURE-30,2025-05-16T00:55:53.000,,,Breached,5/16/25 0:55,,5/21/25 0:55,EXTERNAL-ID-1,1,Unresolved,2025-05,NaT
ISSUE-1544,KEY-1544,,0.0112,0,0,0,0,0,0,38.56607747685185,Acknowledged,0,Breached,0,P1 - High,S1 - Critical,COMP-19,1,(unresolved),External Customer,CUST-249,REALM--1,ENV-7,User/Customer Acceptance Test,Software Defect,DEFECT-CATEGORY-1,5/16/25 1:19,5/27/25 1:12,,5/16/25 1:02,5/30/25 1:02,,PROD-DELIVERABLE-2,CORE-PROD-96,PARENT-PROD-52,FEATURE-2,2025-05-16T01:02:50.000,,,Not breached,5/16/25 1:02,5/16/25 1:19,5/21/25 1:02,EXTERNAL-ID-1,0,Unresolved,2025-05,NaT
